timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1576355547078,564,Add User,200,OK,Thread Group 1-107,text,true,,224,211,500,500,http://www.localhost:4200/user,533,0,532
1576355547215,431,Add User,200,OK,Thread Group 1-353,text,true,,224,211,500,500,http://www.localhost:4200/user,431,0,428
1576355547042,600,Add User,200,OK,Thread Group 1-367,text,true,,224,211,500,500,http://www.localhost:4200/user,571,0,570
1576355547215,435,Add User,200,OK,Thread Group 1-136,text,true,,224,211,500,500,http://www.localhost:4200/user,434,0,433
1576355547077,574,Add User,200,OK,Thread Group 1-10,text,true,,224,211,500,500,http://www.localhost:4200/user,574,0,572
1576355547078,575,Add User,200,OK,Thread Group 1-5,text,true,,224,211,500,500,http://www.localhost:4200/user,575,0,574
1576355547216,438,Add User,200,OK,Thread Group 1-182,text,true,,224,211,500,500,http://www.localhost:4200/user,438,0,437
1576355547218,438,Add User,200,OK,Thread Group 1-401,text,true,,224,211,500,500,http://www.localhost:4200/user,438,0,437
1576355547043,614,Add User,200,OK,Thread Group 1-346,text,true,,224,211,500,500,http://www.localhost:4200/user,614,0,613
1576355547220,443,Add User,200,OK,Thread Group 1-216,text,true,,224,211,500,500,http://www.localhost:4200/user,443,0,437
1576355547220,445,Add User,200,OK,Thread Group 1-392,text,true,,224,211,500,500,http://www.localhost:4200/user,444,0,439
1576355547043,622,Add User,200,OK,Thread Group 1-341,text,true,,224,211,500,500,http://www.localhost:4200/user,622,0,617
1576355547221,444,Add User,200,OK,Thread Group 1-360,text,true,,224,211,500,500,http://www.localhost:4200/user,444,0,439
1576355547222,444,Add User,200,OK,Thread Group 1-33,text,true,,224,211,500,500,http://www.localhost:4200/user,444,0,438
1576355547079,587,Add User,200,OK,Thread Group 1-26,text,true,,224,211,500,500,http://www.localhost:4200/user,587,0,583
1576355547222,445,Add User,200,OK,Thread Group 1-396,text,true,,224,211,500,500,http://www.localhost:4200/user,445,0,439
1576355547223,444,Add User,200,OK,Thread Group 1-122,text,true,,224,211,500,500,http://www.localhost:4200/user,444,0,438
